Id	Score	URL	NormURL	ContentSpace
action-movies	0.496462	http://411mania.com/music/godsmack-heading-for-billboard-album-chart-number-1/	http://411mania.com/music/godsmack-heading-for-billboard-album-chart-number-1/	Sovrn
society	0.749185	http://heavy.com/news/2014/01/guy-gaddis-killer-execution-edgar-tamayo/	http://heavy.com/news/2014/01/guy-gaddis-killer-execution-edgar-tamayo/	Sovrn
philosophy-religion	0.8293	http://sportspyder.com/players/17250-jan-vertonghen/news	http://sportspyder.com/players/17250-jan-vertonghen/news	Sovrn
sports	0.677992	http://sportspyder.com/sports/nfl/articles/13427139	http://sportspyder.com/sports/nfl/articles/13427139	Sovrn
home	0.415959	http://sportspyder.com/teams/minnesota-timberwolves/articles/13426778	http://sportspyder.com/teams/minnesota-timberwolves/articles/13426778	Sovrn
reality-television	0.799072	http://starcasm.net/archives/276884	http://starcasm.net/archives/276884	Sovrn
u-s-cities	0.648723	http://starcasm.net/archives/58483	http://starcasm.net/archives/58483	Sovrn
people	0.768186	http://starwars.wikia.com/wiki/Corellian_Treaty	http://starwars.wikia.com/wiki/Corellian_Treaty	Sovrn
literature-language	0.69304	http://starwars.wikia.com/wiki/Force_Spirit	http://starwars.wikia.com/wiki/Force_Spirit	Sovrn
society	0.973041	http://starwars.wikia.com/wiki/Rulf_Yage	http://starwars.wikia.com/wiki/Rulf_Yage	Sovrn
manufacturing-engineering	0.619692	http://starwars.wikia.com/wiki/Subjugator-Class_Heavy_Cruiser	http://starwars.wikia.com/wiki/Subjugator-Class_Heavy_Cruiser	Sovrn
fitness-nutrition	0.411728	http://starwars.wikia.com/wiki/The_Gathering_(Jedi_Initiates)	http://starwars.wikia.com/wiki/The_Gathering_(Jedi_Initiates)	Sovrn
action-movies	0.835379	http://411mania.com/games/killzone-shadow-fall-ps4-review/	http://411mania.com/games/killzone-shadow-fall-ps4-review/	Sovrn
technology	0.761847	http://411mania.com/mma/the-juggernaut-mma-news-report-04-07-11-strikeforce-diaz-vs-daley-preview/	http://411mania.com/mma/the-juggernaut-mma-news-report-04-07-11-strikeforce-diaz-vs-daley-preview/	Sovrn
cooking-entertaining	0.542082	http://411mania.com/movies/gossip-lindsay-lohan-hangs-out-with-marilyn-manson/	http://411mania.com/movies/gossip-lindsay-lohan-hangs-out-with-marilyn-manson/	Sovrn
x-men	0.561449	http://411mania.com/movies/scene-anatomy-101-the-godfather-part-iii/	http://411mania.com/movies/scene-anatomy-101-the-godfather-part-iii/	Sovrn
celebrities	0.736606	http://411mania.com/music/noel-gallagher-slams-arcade-fire-praises-kanye-wests-yeezus/	http://411mania.com/music/noel-gallagher-slams-arcade-fire-praises-kanye-wests-yeezus/	Sovrn
job-search	0.667498	http://411mania.com/wrestling/the-triumvirate-of-truth-6-24-12-bryan-and-punk-at-money-in-the-bank-the-end-of-cena-vs-ace-feud-more/	http://411mania.com/wrestling/the-triumvirate-of-truth-6-24-12-bryan-and-punk-at-money-in-the-bank-the-end-of-cena-vs-ace-feud-more/	Sovrn
rap-music	0.846738	http://necolebitchie.com/2011/07/page/21/	http://necolebitchie.com/2011/07/page/21/	Sovrn
basketball	0.82698	http://necolebitchie.com/page/701/	http://necolebitchie.com/page/701/	Sovrn
los-angeles-area	0.455823	http://necolebitchie.com/page/701/	http://necolebitchie.com/page/701/	Sovrn
u-s-cities	0.538356	http://411mania.com/mma/ufc-147-weigh-in-results/	http://411mania.com/mma/ufc-147-weigh-in-results/	Sovrn
dem-aaw	0.753295	http://411mania.com/music/miley-cyrus-says-rihanna-would-top-her-maxim-hot-100-list/	http://411mania.com/music/miley-cyrus-says-rihanna-would-top-her-maxim-hot-100-list/	Sovrn
celebrities	0.875146	http://necolebitchie.com/2010/09/caption-this-rihanna-drake/	http://necolebitchie.com/2010/09/caption-this-rihanna-drake/	Sovrn
sci-fi-movies	0.572091	http://necolebitchie.com/2010/09/caption-this-rihanna-drake/	http://necolebitchie.com/2010/09/caption-this-rihanna-drake/	Sovrn
performing-arts	0.667733	http://necolebitchie.com/2010/12/video-nicki-minaj-performs-romans-revenge-moment-4-life-at-vh1-divas-salute-the-troops/	http://necolebitchie.com/2010/12/video-nicki-minaj-performs-romans-revenge-moment-4-life-at-vh1-divas-salute-the-troops/	Sovrn
fashion-models	0.405953	http://necolebitchie.com/2010/12/video-nicki-minaj-performs-romans-revenge-moment-4-life-at-vh1-divas-salute-the-troops/	http://necolebitchie.com/2010/12/video-nicki-minaj-performs-romans-revenge-moment-4-life-at-vh1-divas-salute-the-troops/	Sovrn
technology-companies	0.522489	http://funnyjunk.com/Defense+increased+1/funny-pictures/5374975/	http://funnyjunk.com/Defense+increased+1/funny-pictures/5374975/	Sovrn
performing-arts	0.667733	http://necolebitchie.com/2013/04/jay-z-covers-time-explains-why-he-gave-up-his-ownership-in-the-brooklyn-nets/	http://necolebitchie.com/2013/04/jay-z-covers-time-explains-why-he-gave-up-his-ownership-in-the-brooklyn-nets/	Sovrn
performing-arts	0.480518	http://necolebitchie.com/2013/10/meek-mills-ex-sends-a-message-to-women-who-deserve-better/meek-mills-son/	http://necolebitchie.com/2013/10/meek-mills-ex-sends-a-message-to-women-who-deserve-better/meek-mills-son/	Sovrn
healthy-living	0.740438	http://411mania.com/wrestling/rene-dupree-says-he-had-a-similar-health-risk-to-cm-punk-in-wwe/	http://411mania.com/wrestling/rene-dupree-says-he-had-a-similar-health-risk-to-cm-punk-in-wwe/	Sovrn
travel	0.655646	http://aviewfrommyseat.com/venue/Centre+Bell/123/h/12/	http://aviewfrommyseat.com/venue/Centre+Bell/123/h/12/	Sovrn
sports	0.516028	http://brosome.com/wonderful-candice-swanepoel-is-one-sweet-treat/candice-swanepoel-vs-lingerie-13-36/	http://brosome.com/wonderful-candice-swanepoel-is-one-sweet-treat/candice-swanepoel-vs-lingerie-13-36/	Sovrn
music	0.76148	http://celebslam.celebuzz.com/2013/11/selena-gomez-flaunt-magazine-p.php	http://celebslam.celebuzz.com/2013/11/selena-gomez-flaunt-magazine-p.php	Sovrn
cooking-entertaining	0.711736	http://damndelicious.net/2013/03/31/easter-recipe-round-up/	http://damndelicious.net/2013/03/31/easter-recipe-round-up/	Sovrn
pregnancy-early-childhood	0.853984	http://dragonage.wikia.com/wiki/Orlesian_nobility	http://dragonage.wikia.com/wiki/Orlesian_nobility	Sovrn
cooking-entertaining	0.542854	http://gta.wikia.com/Special_Vehicles_in_The_Lost_and_Damned	http://gta.wikia.com/Special_Vehicles_in_The_Lost_and_Damned	Sovrn
humanities	0.449696	http://heavy.com/news/2014/12/ashton-carter-5-fast-facts-you-need-to-know/	http://heavy.com/news/2014/12/ashton-carter-5-fast-facts-you-need-to-know/	Sovrn
technology	0.72457	http://kidsactivitiesblog.com/35573/target-online-deals-bathing-suits-lego-chest	http://kidsactivitiesblog.com/35573/target-online-deals-bathing-suits-lego-chest	Sovrn
recreation	0.863425	http://starcasm.net/archives/9825	http://starcasm.net/archives/9825	Sovrn
home	0.94424	http://starwars.wikia.com/wiki/Darth_bane	http://starwars.wikia.com/wiki/Darth_bane	Sovrn
hobbies	0.630964	http://starwars.wikia.com/wiki/Darth_bane	http://starwars.wikia.com/wiki/Darth_bane	Sovrn
